bookId|title|author|publishYear|genre|available
B0073|Walden, and On The Duty Of Civil Disobedience|Thoreau, Henry David|1854|Biography|true
B0074|Hard Times|Dickens, Charles|1854|Historical Fiction|true
B0075|The Brothers Karamazov|Dostoyevsky, Fyodor|1880|Philosophy|true
B0076|Democracy in America — Volume 1|Tocqueville, Alexis de|1835|History|true
B0077|Complete Original Short Stories of Guy De Maupassant|Maupassant, Guy de|2004|General Literature|true
B0078|Practical Grammar and Composition|Wood, Thomas|2007|General Literature|true
B0079|David Copperfield|Dickens, Charles|1849|Historical Fiction|true
B0080|Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson|Rowlandson, Mary White|1997|Biography|true
B0081|Uncle Tom's Cabin|Stowe, Harriet Beecher|1852|Historical Fiction|true
B0082|How to Analyze People on Sight: Through the Science of Human Analysis: The Five Human Types|Benedict, Ralph Paine|2009|Science|true
B0083|The Legend of Sleepy Hollow|Irving, Washington|1820|Horror|true
B0084|Around the World in Eighty Days|Verne, Jules|1872|Science Fiction|true
B0085|Anna Karenina|Tolstoy, Leo, graf|1877|Romance|true
B0086|The Mysterious Affair at Styles|Christie, Agatha|1920|Mystery|true
B0087|The Call of the Wild|London, Jack|1903|Historical Fiction|true
B0088|Anne of Green Gables|Montgomery, L. M. (Lucy Maud)|1908|Historical Fiction|true
B0089|Persuasion|Austen, Jane|1817|Romance|true
B0090|Don Quixote|Cervantes Saavedra, Miguel de|1605|Historical Fiction|true
B0091|Democracy and Education: An Introduction to the Philosophy of Education|Dewey, John|1916|Philosophy|true
B0092|A Portrait of the Artist as a Young Man|Joyce, James|1916|Fiction|true
B0093|The Tragical History of Doctor Faustus: From the Quarto of 1604|Marlowe, Christopher|1604|Drama|true
B0094|Ethan Frome|Wharton, Edith|1911|Romance|true
B0095|Paradise Lost|Milton, John|1667|Fantasy|true
B0096|The Tragedy of Romeo and Juliet|Shakespeare, William|1595|Romance|true
B0097|Utopia|More, Thomas, Saint|1516|Science Fiction|true
B0098|Myths and Legends of Ancient Greece and Rome|Berens, E. M.|2007|Fantasy|true
B0099|Forbidden Fruit: Luscious and exciting story and More forbidden fruit or; Master Percy's progress in and beyond the domestic circle|Anonymous|2009|General Literature|true
B0100|Common Sense|Paine, Thomas|1776|History|true
B0101|Northanger Abbey|Austen, Jane|1817|Romance|true
B0102|The Scarlet Letter|Hawthorne, Nathaniel|1850|Historical Fiction|true
B0103|The Communist Manifesto|Engels, Friedrich|1848|History|true
B0104|The Turn of the Screw|James, Henry|1898|Horror|true
B0105|Lysistrata|Aristophanes|-411|Drama|true
B0106|The Souls of Black Folk|Du Bois, W. E. B. (William Edward Burghardt)|1903|History|true
B0107|Madame Bovary|Flaubert, Gustave|1856|Romance|true
B0108|The Reign of Greed|Rizal, Jose|1891|Historical Fiction|true
B0109|Hedda Gabler|Ibsen, Henrik|1890|Fiction|true
B0110|The Return of Sherlock Holmes|Doyle, Arthur Conan|1905|Mystery|true
B0111|Le Morte d'Arthur: Volume 1|Malory, Thomas, Sir|1998|Fantasy|true
B0112|The Works of Edgar Allan Poe — Volume 1|Poe, Edgar Allan|2008|Fantasy|true
B0113|Don Juan|Byron, George Gordon Byron, Baron|1819|Poetry|true
B0114|The War of the Worlds|Wells, H. G. (Herbert George)|1897|Science Fiction|true
B0115|Mansfield Park|Austen, Jane|1814|Romance|true
B0116|Just So Stories|Kipling, Rudyard|1902|Fantasy|true
B0117|Middlemarch|Eliot, George|1871|Romance|true
B0118|Thus Spake Zarathustra: A Book for All and None|Nietzsche, Friedrich Wilhelm|1883|Nonfiction|true
B0119|Meditations|Marcus Aurelius, Emperor of Rome|180|History|true
B0120|On the Origin of Species By Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life|Darwin, Charles|1859|History|true
B0121|Faust|Goethe, Johann Wolfgang von|1808|Fantasy|true
B0122|An Inquiry into the Nature and Causes of the Wealth of Nations|Smith, Adam|1776|History|true
B0123|The Tale of Peter Rabbit|Potter, Beatrix|1901|Fantasy|true
B0124|The Ladies' Book of Etiquette, and Manual of Politeness: A Complete Hand Book for the Use of the Lady in Polite Society|Hartley, Florence|2011|Reference|true
B0125|A Treatise of Human Nature|Hume, David|1739|Philosophy|true
B0126|Little Women|Alcott, Louisa May|1868|Romance|true
B0127|The Problems of Philosophy|Russell, Bertrand|2004|Philosophy|true
B0128|Bleak House|Dickens, Charles|1853|Mystery|true
B0129|The Works of Edgar Allan Poe — Volume 2|Poe, Edgar Allan|2008|Fantasy|true
B0130|The Devil's Dictionary|Bierce, Ambrose|1911|Humor|true
B0131|The Art of War|Sunzi, active 6th century B.C.|-500|Philosophy|true
B0132|The Critique of Pure Reason|Kant, Immanuel|1781|Nonfiction|true
B0133|Memoirs Of Fanny Hill: A New and Genuine Edition from the Original Text (London, 1749)|Cleland, John|1748|Fiction|true
B0134|The Practice and Science of Drawing|Speed, Harold|2004|Science|true
B0135|The Sign of the Four|Doyle, Arthur Conan|1890|Mystery|true
B0136|The Odyssey: Rendered into English prose for the use of those who cannot read the original|Homer|-725|Epic Poetry|true
B0137|A Princess of Mars|Burroughs, Edgar Rice|1912|Science Fiction|true
B0138|Myths and Legends of China|Werner, E. T. C. (Edward Theodore Chalmers)|2005|Fantasy|true
B0139|The Three Musketeers|Dumas, Alexandre|1844|Historical Fiction|true
B0140|2 B R 0 2 B|Vonnegut, Kurt|2007|Science Fiction|true
B0141|The Sorrows of Young Werther|Goethe, Johann Wolfgang von|1774|Romance|true
B0142|The Woman in White|Collins, Wilkie|1859|Horror|true
B0143|Notes from the Underground|Dostoyevsky, Fyodor|1864|Philosophy|true
B0144|Latin for Beginners|D'Ooge, Benjamin L. (Benjamin Leonard)|2006|General Literature|true
B0145|The Memoirs of Sherlock Holmes|Doyle, Arthur Conan|1894|Mystery|true
B0146|The History Of The Decline And Fall Of The Roman Empire: Table of Contents with links in the HTML file to the two; Project Gutenberg editions (12 volumes)|Gibbon, Edward|1776|History|true
B0147|The Trial|Kafka, Franz|1925|Philosophy|true
B0148|Hamlet, Prince of Denmark|Shakespeare, William|1600|Poetry|true
B0149|A Concise Dictionary of Middle English from A.D. 1150 to 1580|Skeat, Walter W. (Walter William)|2004|Reference|true
B0150|Journal of Small Things|Mackay, Helen|2016|General Literature|true
B0151|The Wind in the Willows|Grahame, Kenneth|1908|Fantasy|true
B0152|Tess of the d'Urbervilles: A Pure Woman|Hardy, Thomas|1891|Romance|true
B0153|Macbeth|Shakespeare, William|1606|Poetry|true
B0154|The Elements of Style|Strunk, William|1918|Nonfiction|true
B0155|An Ideal Husband|Wilde, Oscar|1893|Romance|true
B0156|Don Quijote|Cervantes Saavedra, Miguel de|1605|Romance|true
B0157|The Prince and the Pauper|Twain, Mark|1881|Historical Fiction|true
B0158|North and South|Gaskell, Elizabeth Cleghorn|1854|Romance|true
B0159|Childe Harold's Pilgrimage|Byron, George Gordon Byron, Baron|2004|Poetry|true
B0160|The Anatomy of Melancholy|Burton, Robert|1621|Philosophy|true
B0161|The Notebooks of Leonardo Da Vinci — Complete|Leonardo, da Vinci|1500|Nonfiction|true
B0162|Andersen's Fairy Tales|Andersen, H. C. (Hans Christian)|1835|Fantasy|true
B0163|Great Disasters and Horrors in the World's History|Godbey, Allen Howard|2016|Horror|true
B0164|Plays|Glaspell, Susan|2004|Drama|true
B0165|Dead End|Macfarlane, Wallace|2016|General Literature|true
B0166|Philosophiae Naturalis Principia Mathematica|Newton, Isaac, Sir|1687|Science|true
B0167|The Confessions of St. Augustine|Augustine, Saint, Bishop of Hippo|397|Biography|true
B0168|Swann's Way|Proust, Marcel|1913|Philosophy|true
B0169|Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853, from a Cotton Plantation near the Red River in Louisiana|Northup, Solomon|1853|History|true
B0170|The Sea-Gull|Chekhov, Anton Pavlovich|1895|Fiction|true
B0171|Spacemen Die at Home|Ludwig, Edward W.|2016|Science Fiction|true
B0172|The Secret Adversary|Christie, Agatha|1922|Mystery|true
B0173|The Ten Books on Architecture|Vitruvius Pollio|2006|General Literature|true
B0174|The vision of hell.: By Dante Alighieri.; Translated by Rev. Henry Francis Cary, M.A.; and illustrated with the seventy-five designs of Gustave Doré.|Dante Alighieri|2004|Poetry|true
B0175|Noli Me Tangere|Rizal, Jose|1887|Historical Fiction|true
B0176|Beasts, Men and Gods|Ossendowski, Ferdynand Antoni|1922|Nonfiction|true
B0177|The Castle of Otranto|Walpole, Horace|1764|Horror|true
B0178|Lyrical Ballads, With a Few Other Poems (1798)|Wordsworth, William|1798|Poetry|true
B0179|The Moonstone|Collins, Wilkie|1868|Mystery|true
B0180|The Fall of the House of Usher|Poe, Edgar Allan|1839|Horror|true
B0181|The Age of Innocence|Wharton, Edith|1920|Romance|true
B0182|The Aeneid|Virgil|-19|Epic Poetry|true
B0183|The Monkey's Paw: The Lady of the Barge and Others, Part 2.|Jacobs, W. W. (William Wymark)|1902|Horror|true
B0184|Alice's Adventures in Wonderland|Carroll, Lewis|1865|Fantasy|true
B0185|The Secret Garden|Burnett, Frances Hodgson|1911|Fantasy|true
B0186|The History of the Peloponnesian War|Thucydides|2004|History|true
B0187|A Connecticut Yankee in King Arthur's Court|Twain, Mark|1889|Science Fiction|true
B0188|The Livestock Producer and Armour|Unknown|2016|General Literature|true
B0189|Carmilla|Le Fanu, Joseph Sheridan|1872|Horror|true
B0190|Eve's Diary, Complete|Twain, Mark|1906|Humor|true
B0191|Ethics|Spinoza, Benedictus de|1677|Nonfiction|true
B0192|Anthem|Rand, Ayn|1938|Science Fiction|true
B0193|A Room with a View|Forster, E. M. (Edward Morgan)|1908|Romance|true
B0194|The Divine Comedy by Dante, Illustrated, Paradise, Complete|Dante Alighieri|1308|Fantasy|true
B0195|The Mechanical Properties of Wood: Including a Discussion of the Factors Affecting the Mechanical Properties, and Methods of Timber Testing|Record, Samuel J. (Samuel James)|2004|General Literature|true
B0196|Pamela, or Virtue Rewarded|Richardson, Samuel|1740|Fiction|true
B0197|This Side of Paradise|Fitzgerald, F. Scott (Francis Scott)|1920|Romance|true
B0198|The Happy Prince, and Other Tales|Wilde, Oscar|1888|Fantasy|true
B0199|The Innocents Abroad|Twain, Mark|1869|Travel|true
B0200|An Essay on Man; Moral Essays and Satires|Pope, Alexander|1734|Poetry|true
B0201|The Tragedy of Pudd'nhead Wilson|Twain, Mark|1893|Mystery|true
B0202|Symposium|Plato|-385|Philosophy|true
B0203|The Gentlemen's Book of Etiquette and Manual of Politeness: Being a Complete Guide for a Gentleman's Conduct in All His Relations Towards Society|Hartley, Cecil B.|2012|History|true
B0204|The Man Who Was Six|Wallace, F. L. (Floyd L.)|2016|General Literature|true
B0205|Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone|Sophocles|2006|Drama|true
B0206|The Red Badge of Courage: An Episode of the American Civil War|Crane, Stephen|1895|Historical Fiction|true
B0207|The Condition of the Working-Class in England in 1844: with a Preface written in 1892|Engels, Friedrich|2005|General Literature|true
B0208|Divine Comedy, Longfellow's Translation, Hell|Dante Alighieri|1308|Fantasy|true
B0209|Cyrano de Bergerac|Rostand, Edmond|1897|Drama|true
B0210|Hamlet|Shakespeare, William|1600|Poetry|true
B0211|Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences|Descartes, Rene|2008|Science|true
B0212|Maggie: A Girl of the Streets|Crane, Stephen|1893|Fiction|true
B0213|The Library of Entertainment Handbook|Scammell, John Chilton|2016|Reference|true
B0214|Twenty Thousand Leagues under the Sea|Verne, Jules|1869|Science Fiction|true
B0215|The King in Yellow|Chambers, Robert W. (Robert William)|1895|Horror|true
B0216|The World as Will and Idea (Vol. 1 of 3)|Schopenhauer, Arthur|1818|Philosophy|true
B0217|The American Occupation of the Philippines 1898-1912|Blount, James H. (James Henderson)|2011|History|true
B0218|The Canterbury Tales, and Other Poems|Chaucer, Geoffrey|1400|Poetry|true
B0219|My Man Jeeves|Wodehouse, P. G. (Pelham Grenville)|1919|Historical Fiction|true
B0220|Spenser's The Faerie Queene, Book I|Spenser, Edmund|1590|Poetry|true
B0221|Mrs. Warren's Profession|Shaw, Bernard|2006|Drama|true
B0222|Pascal's Pensées|Pascal, Blaise|1670|Philosophy|true
B0223|Venus in Furs|Sacher-Masoch, Leopold, Ritter von|1870|Fiction|true
B0224|The Legends of King Arthur and His Knights|Knowles, James, Sir|2004|Fantasy|true
B0225|The Satyricon — Complete|Petronius Arbiter|2006|Philosophy|true
B0226|The Pilgrim's Progress from this world to that which is to come: Delivered under the similitude of a dream, by John Bunyan|Bunyan, John|1678|Fantasy|true
B0227|Kidnapped|Stevenson, Robert Louis|1886|Historical Fiction|true
B0228|On War — Volume 1|Clausewitz, Carl von|1832|History|true
B0229|The Confessions of Jean Jacques Rousseau — Complete|Rousseau, Jean-Jacques|2015|Biography|true
B0230|Die Verwandlung|Kafka, Franz|1915|Horror|true
B0231|The Idiot|Dostoyevsky, Fyodor|1868|Historical Fiction|true
B0232|Famous Impostors|Stoker, Bram|2016|General Literature|true
B0233|The Strange Case of Dr. Jekyll and Mr. Hyde|Stevenson, Robert Louis|1886|Science Fiction|true
B0234|The Addicts|Samachson, Joseph|2016|General Literature|true
B0235|The Lost World|Doyle, Arthur Conan|1912|Science Fiction|true
B0236|Life on the Mississippi|Twain, Mark|1883|Biography|true
B0237|An Enquiry Concerning Human Understanding|Hume, David|1748|Nonfiction|true
B0238|The Marching Morons|Kornbluth, C. M. (Cyril M.)|2016|General Literature|true
B0239|The Decameron of Giovanni Boccaccio|Boccaccio, Giovanni|1353|Historical Fiction|true
B0240|A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects|Wollstonecraft, Mary|2002|History|true
B0241|Tarzan of the Apes|Burroughs, Edgar Rice|1912|Science Fiction|true
B0242|Southern Horrors: Lynch Law in All Its Phases|Wells-Barnett, Ida B.|2005|Horror|true
B0243|Uncle Vanya: Scenes from Country Life in Four Acts|Chekhov, Anton Pavlovich|1897|Fiction|true
B0244|The Social Cancer: A Complete English Version of Noli Me Tangere|Rizal, Jose|1887|Historical Fiction|true
B0245|Gargantua and Pantagruel|Rabelais, Francois|1532|Fantasy|true
B0246|The Pursuit of God|Tozer, A. W. (Aiden Wilson)|1948|Nonfiction|true
B0247|The Federalist Papers|Jay, John|1787|History|true
B0248|The Life and Opinions of Tristram Shandy, Gentleman|Sterne, Laurence|1767|Fiction|true
B0249|The Ladies Delight|Anonymous|2004|Poetry|true
B0250|The Lives of the Twelve Caesars, Complete|Suetonius|119|History|true
B0251|Roughing It|Twain, Mark|1872|Biography|true
B0252|Second Variety|Dick, Philip K.|2010|Science Fiction|true
B0253|Bridge Crossing|Dryfoos, Dave|2016|General Literature|true
B0254|The Thousand and One Nights, Vol. I.: Commonly Called the Arabian Nights' Entertainments|Unknown|2010|Fantasy|true
B0255|The Consolation of Philosophy|Boethius|524|Philosophy|true
B0256|A Complete Guide to Heraldry|Fox-Davies, Arthur Charles|2012|General Literature|true
B0257|Max und Moritz: Eine Bubengeschichte in sieben Streichen|Busch, Wilhelm|2005|Poetry|true
B0258|The Poetics of Aristotle|Aristotle|-335|Philosophy|true
B0259|Ghosts|Ibsen, Henrik|2005|Horror|true
B0260|Struwwelpeter: Merry Stories and Funny Pictures|Hoffmann, Heinrich|2004|Poetry|true
B0261|Youth|Asimov, Isaac|2010|Science Fiction|true
B0262|Plain Tales from the Hills|Kipling, Rudyard|1999|History|true
B0263|The Invisible Man: A Grotesque Romance|Wells, H. G. (Herbert George)|1897|Science Fiction|true
B0264|Utilitarianism|Mill, John Stuart|1861|History|true
B0265|Novo dicionário da língua portuguesa|Figueiredo, Candido de|2010|General Literature|true
B0266|Beasts and Super-Beasts|Saki|2011|Horror|true
B0267|The History of Prostitution: Its Extent, Causes, and Effects throughout the World|Sanger, William W.|2013|History|true
B0268|A Journey to the Centre of the Earth|Verne, Jules|1864|Science Fiction|true
B0269|A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library|Dewey, Melvil|2004|General Literature|true
B0270|The Theory of the Leisure Class|Veblen, Thorstein|1997|General Literature|true
B0271|Ivanhoe: A Romance|Scott, Walter|1819|Romance|true
B0272|Notre-Dame De Paris|Hugo, Victor|1831|Romance|true
B0273|Lineage, Life and Labors of José Rizal, Philippine Patriot|Craig, Austin|2004|General Literature|true
B0274|The Valley of Fear|Doyle, Arthur Conan|1914|Mystery|true
B0275|The Island of Doctor Moreau|Wells, H. G. (Herbert George)|1896|Science Fiction|true
B0276|Alice's Adventures in Wonderland: Illustrated by Arthur Rackham. With a Proem by Austin Dobson|Carroll, Lewis|1865|Fantasy|true
B0277|The Man Outside|Smith, Evelyn E.|2016|General Literature|true
B0278|The Last of the Mohicans; A narrative of 1757|Cooper, James Fenimore|1826|Historical Fiction|true
B0279|The Adventures of Pinocchio|Collodi, Carlo|1883|Fantasy|true
B0280|The Spectator, Volumes 1, 2 and 3: With Translations and Index for the Series|Steele, Richard, Sir|2004|General Literature|true
B0281|The Jungle Book|Kipling, Rudyard|1894|Fantasy|true
B0282|The Sense of Wonder|Marlowe, Stephen|2016|General Literature|true
B0283|China and Pottery Marks|Unknown|2012|General Literature|true
B0284|Aesop's Fables; a new translation|Aesop|2004|Fables|true
B0285|Essays by Ralph Waldo Emerson|Emerson, Ralph Waldo|2005|General Literature|true
B0286|Encyclopedia of Needlework|Dillmont, Therese de|2007|General Literature|true
B0287|Chaucer's Works, Volume 4 (of 7) — The Canterbury Tales|Chaucer, Geoffrey|1400|Poetry|true
B0288|White Fang|London, Jack|1906|Historical Fiction|true
B0289|Mosses from an Old Manse, and Other Stories|Hawthorne, Nathaniel|1996|Fiction|true
B0290|The Mayor of Casterbridge|Hardy, Thomas|1886|Historical Fiction|true
B0291|Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth|Bradley, A. C. (Andrew Cecil)|2005|Drama|true
B0292|The Waste Land|Eliot, T. S. (Thomas Stearns)|1922|Poetry|true
B0293|My Antonia|Cather, Willa|1918|Historical Fiction|true
B0294|Florante at Laura|Balagtas, Francisco|2005|Poetry|true
B0295|Apology|Plato|1999|Philosophy|true
B0296|Bartleby, the Scrivener: A Story of Wall-Street|Melville, Herman|1853|Fiction|true
B0297|Far from the Madding Crowd|Hardy, Thomas|1874|Romance|true
B0298|History of the Decline and Fall of the Roman Empire — Volume 1|Gibbon, Edward|1776|History|true
B0299|The Lady with the Dog and Other Stories|Chekhov, Anton Pavlovich|2004|Fiction|true
B0300|Filipino Popular Tales|Unknown|2005|General Literature|true
B0301|Antiquities of the Jews|Josephus, Flavius|2001|General Literature|true
B0302|The Secret Agent: A Simple Tale|Conrad, Joseph|1907|Mystery|true
B0303|The Raven|Poe, Edgar Allan|1844|Horror|true
B0304|The Iliad|Homer|-750|Epic Poetry|true
B0305|The Mysterious Stranger, and Other Stories|Twain, Mark|2006|Humor|true
B0306|How?: or Spare Hours Made Profitable for Boys and Girls|Holbrook, Kennedy|2016|General Literature|true
B0307|Laura Middleton; Her Brother and her Lover|Anonymous|2009|General Literature|true
B0308|Biographia Literaria|Coleridge, Samuel Taylor|2004|Poetry|true
B0309|Incidents in the Life of a Slave Girl, Written by Herself|Jacobs, Harriet A. (Harriet Ann)|1861|History|true
B0310|How To Write Special Feature Articles: A Handbook for Reporters, Correspondents and Free-Lance Writers Who Desire to Contribute to Popular Magazines and Magazine Sections of Newspapers|Bleyer, Willard Grosvenor|2005|Reference|true
B0311|The Pickwick Papers|Dickens, Charles|1837|Historical Fiction|true
B0312|The House of Mirth|Wharton, Edith|1905|Historical Fiction|true
B0313|A Little Princess: Being the whole story of Sara Crewe now told for the first time|Burnett, Frances Hodgson|1905|Historical Fiction|true
B0314|My Lady Greensleeves|Pohl, Frederik|2016|General Literature|true
B0315|1000 Mythological Characters Briefly Described: Adapted to Private Schools, High Schools and Academies|Ellis, Edward Sylvester|2013|Fantasy|true
B0316|Women in Love|Lawrence, D. H. (David Herbert)|1920|Romance|true
B0317|An Enemy of the People|Ibsen, Henrik|2000|Drama|true
B0318|Palmistry for All|Cheiro|2007|General Literature|true
B0319|The Person and Work of The Holy Spirit|Torrey, R. A. (Reuben Archer)|2009|General Literature|true
B0320|Best Russian Short Stories|Unknown|2004|General Literature|true
B0321|Faust: Der Tragödie erster Teil|Goethe, Johann Wolfgang von|1808|Fantasy|true
B0322|The Thirty-Nine Steps|Buchan, John|1915|Mystery|true
B0323|Webster's Unabridged Dictionary|Various|2009|Reference|true
B0324|Flatland: A Romance of Many Dimensions (Illustrated)|Abbott, Edwin Abbott|1884|Science Fiction|true
B0325|What Is Man? and Other Essays|Twain, Mark|1993|General Literature|true
B0326|The History of Don Quixote, Volume 1, Complete|Cervantes Saavedra, Miguel de|2004|Romance|true
B0327|Right Ho, Jeeves|Wodehouse, P. G. (Pelham Grenville)|1934|Mystery|true
B0328|Dr. Kometevsky's Day|Leiber, Fritz|2016|General Literature|true
B0329|The Best American Humorous Short Stories|Unknown|2004|Humor|true
B0330|Silas Marner|Eliot, George|1861|Fiction|true
B0331|The Vampyre; a Tale|Polidori, John William|2004|Horror|true
B0332|Relativity : the Special and General Theory|Einstein, Albert|1916|History|true
B0333|The Doré Bible Gallery, Complete: Containing One Hundred Superb Illustrations, and a Page of Explanatory Letter-press Facing Each|Unknown|2004|Religion|true
B0334|The Literary World Seventh Reader|Unknown|2006|General Literature|true
B0335|The Innocence of Father Brown|Chesterton, G. K. (Gilbert Keith)|1911|Mystery|true
B0336|Electricity in Locomotion: An Account of its Mechanism, its Achievements, and its Prospects|Whyte, Adam Gowens|2016|General Literature|true
B0337|Kim|Kipling, Rudyard|1901|Adventure|true
B0338|Irish Fairy Tales|Stephens, James|2001|Fantasy|true
B0339|My Bondage and My Freedom|Douglass, Frederick|1855|Biography|true
B0340|Captain Cook's Journal During His First Voyage Round the World: Made in H. M. Bark "Endeavour", 1768-71|Cook, James|2005|General Literature|true
B0341|Black Beauty|Sewell, Anna|1877|Historical Fiction|true
B0342|De Profundis|Wilde, Oscar|2007|General Literature|true
